Country,Code,Year,Electricity-demand
Kenya,KEN,2000,4.51
Kenya,KEN,2001,4.98
Kenya,KEN,2002,5.37
Kenya,KEN,2003,5.67
Kenya,KEN,2004,6.32
Kenya,KEN,2005,6.7
Kenya,KEN,2006,7.47
Kenya,KEN,2007,6.63
Kenya,KEN,2008,6.13
Kenya,KEN,2009,6.56
Kenya,KEN,2010,7.16
Kenya,KEN,2011,7.83
Kenya,KEN,2012,8.18
Kenya,KEN,2013,8.08
Kenya,KEN,2014,9.33
Kenya,KEN,2015,9.82
Kenya,KEN,2016,9.73
Kenya,KEN,2017,11.05
Kenya,KEN,2018,11.39
Kenya,KEN,2019,11.76
Kenya,KEN,2020,11.8
Kenya,KEN,2021,12.65
Kenya,KEN,2022,13.26
Kenya,KEN,2023,13.07
Kenya,KEN,2024,13.73
