Country,Year,Population
Kenya,2000,30642894
Kenya,2001,31619171
Kenya,2002,32629809
Kenya,2003,33652233
Kenya,2004,34713452
Kenya,2005,35796486
Kenya,2006,36904011
Kenya,2007,38036354
Kenya,2008,39206351
Kenya,2009,40408889
Kenya,2010,41598568
Kenya,2011,42758466
Kenya,2012,43888305
Kenya,2013,44986793
Kenya,2014,46051439
Kenya,2015,47088529
Kenya,2016,48139680
Kenya,2017,49197756
Kenya,2018,50207111
Kenya,2019,51202830
Kenya,2020,52217325
Kenya,2021,53219166
Kenya,2022,54252456
Kenya,2023,55339010
Kenya,2024,56432945
